maturity,interval_days,strike_type,brokerage_fee,mse,gamma_failures,iterations,default_ratio
2025-9-12,1,ATM,0.0,1.045620880175766,0,31,0.0
2025-9-12,1,ATM,0.05,8.64440980495851,0,31,0.0
2025-9-19,1,ATM,0.0,1.1636247728681717,0,33,0.0
2025-9-19,1,ATM,0.05,10.167928772861186,0,33,0.0
2025-9-26,1,ATM,0.0,2.357440993659785,0,33,0.0
2025-9-26,1,ATM,0.05,22.832528871867535,0,33,0.0
2025-10-10,1,ATM,0.0,2.125915429458084,0,31,0.0
2025-10-10,1,ATM,0.05,17.43664856340522,0,31,0.0
2025-10-17,1,ATM,0.0,3.6510684854676985,0,34,0.0
2025-10-17,1,ATM,0.05,44.611457551693455,0,34,0.0
2025-10-24,1,ATM,0.0,3.2187686093131753,0,34,0.0
2025-10-24,1,ATM,0.05,50.73711550587541,0,34,0.0
2025-10-31,1,ATM,0.0,2.72122801325837,0,34,0.0
2025-10-31,1,ATM,0.05,53.92026262389937,0,34,0.0
2025-11-14,1,ATM,0.0,0.27269630470338274,0,32,0.0
2025-11-14,1,ATM,0.05,11.378495872953104,0,32,0.0
2025-11-21,1,ATM,0.0,0.09685664256282624,0,34,0.0
2025-11-21,1,ATM,0.05,1.2021622364635112,0,34,0.0
2025-11-28,1,ATM,0.0,0.3613502572072377,0,33,0.0
2025-11-28,1,ATM,0.05,5.9000255365957335,0,33,0.0
2025-9-12,1,OTM,0.0,0.5433380881239184,0,31,0.0
2025-9-12,1,OTM,0.05,3.688430138899135,0,31,0.0
2025-9-19,1,OTM,0.0,0.23752783329161264,0,33,0.0
2025-9-19,1,OTM,0.05,4.03909687442939,0,33,0.0
2025-9-26,1,OTM,0.0,0.24971015581350028,0,33,0.0
2025-9-26,1,OTM,0.05,5.833979677729726,0,33,0.0
2025-10-10,1,OTM,0.0,0.4938459886513911,0,31,0.0
2025-10-10,1,OTM,0.05,9.995489940786845,0,31,0.0
2025-10-17,1,OTM,0.0,2.044690241714184,0,34,0.0
2025-10-17,1,OTM,0.05,25.54597193268254,0,34,0.0
2025-10-24,1,OTM,0.0,1.6256946660078289,0,34,0.0
2025-10-24,1,OTM,0.05,27.69657551272977,0,34,0.0
2025-10-31,1,OTM,0.0,0.9570917950710124,0,34,0.0
2025-10-31,1,OTM,0.05,29.610283952946574,0,34,0.0
2025-11-14,1,OTM,0.0,0.6700942220877681,0,32,0.0
2025-11-14,1,OTM,0.05,5.460497630951102,0,32,0.0
2025-11-21,1,OTM,0.0,0.3891404944646011,0,34,0.0
2025-11-21,1,OTM,0.05,8.028137799601819,0,34,0.0
2025-11-28,1,OTM,0.0,1.376660382333804,0,33,0.0
2025-11-28,1,OTM,0.05,14.64194777674803,0,33,0.0
2025-9-12,1,ITM,0.0,1.004058175029868,0,31,0.0
2025-9-12,1,ITM,0.05,2.4685717989642497,0,31,0.0
2025-9-19,1,ITM,0.0,1.3615312298274038,0,33,0.0
2025-9-19,1,ITM,0.05,3.0076191482094314,0,33,0.0
2025-9-26,1,ITM,0.0,1.7482103362323178,0,33,0.0
2025-9-26,1,ITM,0.05,3.952812556691929,0,33,0.0
2025-10-10,1,ITM,0.0,1.2335497260020774,0,31,0.0
2025-10-10,1,ITM,0.05,26.1640449122591,0,31,0.0
2025-10-17,1,ITM,0.0,0.294401817290957,0,34,0.0
2025-10-17,1,ITM,0.05,2.2918884220511817,0,34,0.0
2025-10-24,1,ITM,0.0,0.4451722393704044,0,34,0.0
2025-10-24,1,ITM,0.05,2.540042800405796,0,34,0.0
2025-10-31,1,ITM,0.0,0.9193173528514793,0,34,0.0
2025-10-31,1,ITM,0.05,37.1056709396177,0,34,0.0
2025-11-14,1,ITM,0.0,0.27269630470338274,0,32,0.0
2025-11-14,1,ITM,0.05,11.378495872953104,0,32,0.0
2025-11-21,1,ITM,0.0,0.08012436391965402,0,34,0.0
2025-11-21,1,ITM,0.05,0.6347084470909465,0,34,0.0
2025-11-28,1,ITM,0.0,0.06607024662732802,0,33,0.0
2025-11-28,1,ITM,0.05,0.626204403274922,0,33,0.0
2025-9-12,2,ATM,0.0,2.1684748113639913,0,16,0.0
2025-9-12,2,ATM,0.05,9.449504950064808,0,16,0.0
2025-9-19,2,ATM,0.0,2.4110450602466944,0,17,0.0
2025-9-19,2,ATM,0.05,12.171654264431922,0,17,0.0
2025-9-26,2,ATM,0.0,5.435623034674977,0,17,0.0
2025-9-26,2,ATM,0.05,32.02542133898005,0,17,0.0
2025-10-10,2,ATM,0.0,4.692534259889196,0,16,0.0
2025-10-10,2,ATM,0.05,21.16737455009396,0,16,0.0
2025-10-17,2,ATM,0.0,7.654499449405641,0,18,0.0
2025-10-17,2,ATM,0.05,51.90542756601738,0,18,0.0
2025-10-24,2,ATM,0.0,5.463610696742255,0,18,0.0
2025-10-24,2,ATM,0.05,54.18267109484362,0,18,0.0
2025-10-31,2,ATM,0.0,5.400786478528875,0,18,0.0
2025-10-31,2,ATM,0.05,59.94616958881067,0,18,0.0
2025-11-14,2,ATM,0.0,0.5283490903628041,0,17,0.0
2025-11-14,2,ATM,0.05,18.078985312192614,0,17,0.0
2025-11-21,2,ATM,0.0,0.1482558490281741,0,18,0.0
2025-11-21,2,ATM,0.05,0.4771525931179172,0,18,0.0
2025-11-28,2,ATM,0.0,0.20533388706870037,0,17,0.0
2025-11-28,2,ATM,0.05,2.2090285452006535,0,17,0.0
2025-9-12,2,OTM,0.0,1.151148621714739,0,16,0.0
2025-9-12,2,OTM,0.05,3.494428614821676,0,16,0.0
2025-9-19,2,OTM,0.0,0.4792713372053098,0,17,0.0
2025-9-19,2,OTM,0.05,3.566934875264721,0,17,0.0
2025-9-26,2,OTM,0.0,0.5290134595888313,0,17,0.0
2025-9-26,2,OTM,0.05,6.52038979231615,0,17,0.0
2025-10-10,2,OTM,0.0,0.9404876112021412,0,16,0.0
2025-10-10,2,OTM,0.05,10.482923496277065,0,16,0.0
2025-10-17,2,OTM,0.0,4.282513586747058,0,18,0.0
2025-10-17,2,OTM,0.05,28.975385679139297,0,18,0.0
2025-10-24,2,OTM,0.0,2.707574308600331,0,18,0.0
2025-10-24,2,OTM,0.05,29.653218095079907,0,18,0.0
2025-10-31,2,OTM,0.0,1.7315805958117305,0,18,0.0
2025-10-31,2,OTM,0.05,32.27627335581682,0,18,0.0
2025-11-14,2,OTM,0.0,1.4635221108760044,0,17,0.0
2025-11-14,2,OTM,0.05,5.988453063707418,0,17,0.0
2025-11-21,2,OTM,0.0,0.7109310180161765,0,18,0.0
2025-11-21,2,OTM,0.05,7.356960023997471,0,18,0.0
2025-11-28,2,OTM,0.0,2.7632401371507176,0,17,0.0
2025-11-28,2,OTM,0.05,16.719016753350353,0,17,0.0
2025-9-12,2,ITM,0.0,2.136470251580393,0,16,0.0
2025-9-12,2,ITM,0.05,4.353177893118698,0,16,0.0
2025-9-19,2,ITM,0.0,2.5867868490340222,0,17,0.0
2025-9-19,2,ITM,0.05,4.227811739057466,0,17,0.0
2025-9-26,2,ITM,0.0,3.953968648636972,0,17,0.0
2025-9-26,2,ITM,0.05,6.502408623640735,0,17,0.0
2025-10-10,2,ITM,0.0,2.5115635592602588,0,16,0.0
2025-10-10,2,ITM,0.05,47.11323629978184,0,16,0.0
2025-10-17,2,ITM,0.0,0.5323578291613397,0,18,0.0
2025-10-17,2,ITM,0.05,2.5546961976741387,0,18,0.0
2025-10-24,2,ITM,0.0,0.8670797335414313,0,18,0.0
2025-10-24,2,ITM,0.05,3.4504674728413267,0,18,0.0
2025-10-31,2,ITM,0.0,1.6855139625544495,0,18,0.0
2025-10-31,2,ITM,0.05,17.676590629191054,0,18,0.0
2025-11-14,2,ITM,0.0,0.5283490903628041,0,17,0.0
2025-11-14,2,ITM,0.05,18.078985312192614,0,17,0.0
2025-11-21,2,ITM,0.0,0.15553552996168135,0,18,0.0
2025-11-21,2,ITM,0.05,0.6953313401530239,0,18,0.0
2025-11-28,2,ITM,0.0,0.13214049325465604,0,17,0.0
2025-11-28,2,ITM,0.05,0.6487065789353271,0,17,0.0
2025-9-12,7,ATM,0.0,5.553222250611639,0,6,0.0
2025-9-12,7,ATM,0.05,12.684307021355096,0,6,0.0
2025-9-19,7,ATM,0.0,10.114979828686245,0,6,0.0
2025-9-19,7,ATM,0.05,18.57455619590781,0,6,0.0
2025-9-26,7,ATM,0.0,18.744076943176303,0,6,0.0
2025-9-26,7,ATM,0.05,57.52541747094798,0,6,0.0
2025-10-10,7,ATM,0.0,14.980560838733163,0,6,0.0
2025-10-10,7,ATM,0.05,37.169006400731085,0,6,0.0
2025-10-17,7,ATM,0.0,28.187873449540728,0,6,0.0
2025-10-17,7,ATM,0.05,72.70005822996455,0,6,0.0
2025-10-24,7,ATM,0.0,24.313462555141054,0,6,0.0
2025-10-24,7,ATM,0.05,78.11246720774228,0,6,0.0
2025-10-31,7,ATM,0.0,12.840891687785184,0,6,0.0
2025-10-31,7,ATM,0.05,51.82310680399907,0,6,0.0
2025-11-14,7,ATM,0.0,1.690717089160973,0,6,0.0
2025-11-14,7,ATM,0.05,22.395553262860197,0,6,0.0
2025-11-21,7,ATM,0.0,0.504069886695792,0,6,0.0
2025-11-21,7,ATM,0.05,0.6574715712661139,0,6,0.0
2025-11-28,7,ATM,0.0,1.3635965083011135,0,6,0.0
2025-11-28,7,ATM,0.05,7.005532833547792,0,6,0.0
2025-9-12,7,OTM,0.0,2.496011835808976,0,6,0.0
2025-9-12,7,OTM,0.05,7.328547841947258,0,6,0.0
2025-9-19,7,OTM,0.0,1.407318607158612,0,6,0.0
2025-9-19,7,OTM,0.05,2.6645935613899243,0,6,0.0
2025-9-26,7,OTM,0.0,3.2583399597645446,0,6,0.0
2025-9-26,7,OTM,0.05,9.089971682941018,0,6,0.0
2025-10-10,7,OTM,0.0,2.9914882616801757,0,6,0.0
2025-10-10,7,OTM,0.05,15.025625483069964,0,6,0.0
2025-10-17,7,OTM,0.0,16.285086528390558,0,6,0.0
2025-10-17,7,OTM,0.05,41.356831492034544,0,6,0.0
2025-10-24,7,OTM,0.0,10.863639528569294,0,6,0.0
2025-10-24,7,OTM,0.05,36.22527875852534,0,6,0.0
2025-10-31,7,OTM,0.0,4.974550876020968,0,6,0.0
2025-10-31,7,OTM,0.05,27.980128044286637,0,6,0.0
2025-11-14,7,OTM,0.0,4.473706352795889,0,6,0.0
2025-11-14,7,OTM,0.05,9.281422523805915,0,6,0.0
2025-11-21,7,OTM,0.0,2.627589773388018,0,6,0.0
2025-11-21,7,OTM,0.05,8.181238775622514,0,6,0.0
2025-11-28,7,OTM,0.0,8.780405127127967,0,6,0.0
2025-11-28,7,OTM,0.05,20.672264901977886,0,6,0.0
2025-9-12,7,ITM,0.0,8.895125140524854,0,6,0.0
2025-9-12,7,ITM,0.05,13.572728772044101,0,6,0.0
2025-9-19,7,ITM,0.0,10.412397471066571,0,6,0.0
2025-9-19,7,ITM,0.05,10.675851937608929,0,6,0.0
2025-9-26,7,ITM,0.0,3.2113713766097094,0,6,0.0
2025-9-26,7,ITM,0.05,3.657703626196563,0,6,0.0
2025-10-10,7,ITM,0.0,10.192892147204873,0,6,0.0
2025-10-10,7,ITM,0.05,141.59955523740692,0,6,0.0
2025-10-17,7,ITM,0.0,2.7774328708198865,0,6,0.0
2025-10-17,7,ITM,0.05,4.365873533161908,0,6,0.0
2025-10-24,7,ITM,0.0,2.417310694961646,0,6,0.0
2025-10-24,7,ITM,0.05,4.789624476759749,0,6,0.0
2025-10-31,7,ITM,0.0,5.707951917763877,0,6,0.0
2025-10-31,7,ITM,0.05,9.606553828573867,0,6,0.0
2025-11-14,7,ITM,0.0,1.690717089160973,0,6,0.0
2025-11-14,7,ITM,0.05,22.395553262860197,0,6,0.0
2025-11-21,7,ITM,0.0,0.5288208018697166,0,6,0.0
2025-11-21,7,ITM,0.05,0.7612361628579325,0,6,0.0
2025-11-28,7,ITM,0.0,0.42284957841489934,0,6,0.0
2025-11-28,7,ITM,0.05,0.6827524703030572,0,6,0.0
2025-9-12,10,ATM,0.0,10.972027704720345,0,4,0.0
2025-9-12,10,ATM,0.05,18.243027422789716,0,4,0.0
2025-9-19,10,ATM,0.0,6.444077095892955,0,5,0.0
2025-9-19,10,ATM,0.05,7.2667424034502295,0,5,0.0
2025-9-26,10,ATM,0.0,15.285021998269555,0,5,0.0
2025-9-26,10,ATM,0.05,50.3830084879661,0,5,0.0
2025-10-10,10,ATM,0.0,23.160799521419822,0,4,0.0
2025-10-10,10,ATM,0.05,38.54387648805229,0,4,0.0
2025-10-17,10,ATM,0.0,14.678717809026375,0,5,0.0
2025-10-17,10,ATM,0.05,48.892227401113594,0,5,0.0
2025-10-24,10,ATM,0.0,31.256579662338225,0,5,0.0
2025-10-24,10,ATM,0.05,87.2011940592218,0,5,0.0
2025-10-31,10,ATM,0.0,13.002138168264057,0,5,0.0
2025-10-31,10,ATM,0.05,76.75352585637582,0,5,0.0
2025-11-14,10,ATM,0.0,2.1133963614512163,0,5,0.0
2025-11-14,10,ATM,0.05,33.51382195400547,0,5,0.0
2025-11-21,10,ATM,0.0,0.63008735836974,0,5,0.0
2025-11-21,10,ATM,0.05,0.8132001909874389,0,5,0.0
2025-11-28,10,ATM,0.0,3.7076088288693323,0,5,0.0
2025-11-28,10,ATM,0.05,13.69897317779903,0,5,0.0
2025-9-12,10,OTM,0.0,6.312822065122423,0,4,0.0
2025-9-12,10,OTM,0.05,11.275699047025304,0,4,0.0
2025-9-19,10,OTM,0.0,0.9064270131991655,0,5,0.0
2025-9-19,10,OTM,0.05,3.8077732808271425,0,5,0.0
2025-9-26,10,OTM,0.0,1.569180085888453,0,5,0.0
2025-9-26,10,OTM,0.05,7.975169109308925,0,5,0.0
2025-10-10,10,OTM,0.0,2.371053966329637,0,4,0.0
2025-10-10,10,OTM,0.05,9.709188586453006,0,4,0.0
2025-10-17,10,OTM,0.0,8.738584323843126,0,5,0.0
2025-10-17,10,OTM,0.05,30.744199847405238,0,5,0.0
2025-10-24,10,OTM,0.0,14.022585894350142,0,5,0.0
2025-10-24,10,OTM,0.05,48.76913005479157,0,5,0.0
2025-10-31,10,OTM,0.0,4.945735469349796,0,5,0.0
2025-10-31,10,OTM,0.05,40.425048232225315,0,5,0.0
2025-11-14,10,OTM,0.0,5.55895198588649,0,5,0.0
2025-11-14,10,OTM,0.05,10.622130994809627,0,5,0.0
2025-11-21,10,OTM,0.0,3.5805343504961367,0,5,0.0
2025-11-21,10,OTM,0.05,9.148803997307835,0,5,0.0
2025-11-28,10,OTM,0.0,11.924691982808142,0,5,0.0
2025-11-28,10,OTM,0.05,44.0565469994781,0,5,0.0
2025-9-12,10,ITM,0.0,10.547474816590402,0,4,0.0
2025-9-12,10,ITM,0.05,14.98118800529537,0,4,0.0
2025-9-19,10,ITM,0.0,14.52496383734598,0,5,0.0
2025-9-19,10,ITM,0.05,17.420309582337087,0,5,0.0
2025-9-26,10,ITM,0.0,14.197613420893392,0,5,0.0
2025-9-26,10,ITM,0.05,18.033483484292447,0,5,0.0
2025-10-10,10,ITM,0.0,7.456131213140033,0,4,0.0
2025-10-10,10,ITM,0.05,10.18230696302466,0,4,0.0
2025-10-17,10,ITM,0.0,1.8258104836609284,0,5,0.0
2025-10-17,10,ITM,0.05,3.3784696450902594,0,5,0.0
2025-10-24,10,ITM,0.0,2.9821923273083555,0,5,0.0
2025-10-24,10,ITM,0.05,6.1122212981025195,0,5,0.0
2025-10-31,10,ITM,0.0,6.691551871745499,0,5,0.0
2025-10-31,10,ITM,0.05,14.247213203917939,0,5,0.0
2025-11-14,10,ITM,0.0,2.1133963614512163,0,5,0.0
2025-11-14,10,ITM,0.05,33.51382195400547,0,5,0.0
2025-11-21,10,ITM,0.0,0.6610260023371457,0,5,0.0
2025-11-21,10,ITM,0.05,0.9325352715217924,0,5,0.0
2025-11-28,10,ITM,0.0,0.5285619730186242,0,5,0.0
2025-11-28,10,ITM,0.05,1.3119572242152349,0,5,0.0
